WEO Country Code,ISO,Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
134,DEU,Germany,3.736,3.913,5.723,5.011,1.925,-0.976,2.395,1.541,0.814,1.79,2.019,1.885,2.905,1.689,-0.201,-0.708,1.186,0.728,3.815,2.975,0.965,-5.694,4.185,3.913,0.428,0.431,2.218,1.742,2.23,2.465,1.522,0.544,1.247,1.439,1.336,1.235,1.167,2018
652,GHA,Ghana,6.177,4.308,3.476,4.722,4.113,4.581,3.445,4.151,4.771,5.834,4.942,4.608,3.727,4.066,4.631,5.114,5.47,6.209,5.96,4.008,9.253,5.496,7.942,17.407,8.981,7.934,2.897,2.178,3.448,8.143,6.263,7.457,5.607,4.222,4.616,4.959,5.106,2018
174,GRC,Greece,4.288,3.799,--,3.102,0.697,-1.599,2,2.1,2.863,4.484,3.895,3.072,3.92,4.132,3.923,5.795,5.061,0.599,5.652,3.274,-0.335,-4.301,-5.478,-9.132,-7.3,-3.242,0.74,-0.438,-0.191,1.505,1.934,1.981,2.22,1.707,1.345,0.897,0.932,2018
328,GRD,Grenada,2.916,3.758,4.241,1.423,-0.813,-1.956,1.838,2.196,4.386,4.916,11.808,6.981,5.063,-2.024,3.438,9.464,-0.647,13.273,-3.993,6.124,0.948,-6.613,-0.511,0.765,-1.155,2.351,7.342,6.445,3.74,4.439,4.248,3.144,2.73,2.659,3.171,3.178,2.964,2018
258,GTM,Guatemala,3.892,3.943,3.101,3,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,3.867,2.531,3.152,3.26,5.38,6.304,3.281,0.526,2.869,4.162,2.97,3.698,4.174,4.14,3.092,2.76,3.145,3.354,3.541,3.72,3.596,3.514,3.467,2018
656,GIN,Guinea,6.308,4.003,4.324,2.497,3.273,5.048,4.001,4.68,4.462,5.182,3.644,3.812,2.503,3.658,5.165,1.249,2.34,2.997,2.497,6.512,4.142,-1.538,4.219,5.614,5.915,3.934,3.708,3.813,10.828,10.048,5.768,5.892,5.963,5.99,5.281,4.991,4.955,2018
654,GNB,Guinea-Bissau,1.958,2.925,4.58,7.305,3.095,2.276,2.963,4.016,3.747,5.994,-16.909,13.228,-0.189,2.017,-1.279,0.402,2.761,4.266,2.309,3.263,3.204,3.369,4.611,8.085,-1.713,3.256,0.965,6.134,6.263,5.927,3.8,4.6,4.9,5,5.1,5.2,5.3,2018
336,GUY,Guyana,-5.981,-4.944,-3.01,6.026,7.758,8.201,8.482,5.055,7.956,6.185,-1.707,2.986,-1.345,2.26,1.149,-0.652,1.566,-1.942,5.127,7.02,1.977,3.319,4.371,5.437,5.039,5.018,3.898,3.055,3.356,2.134,4.138,4.435,85.618,4.767,20.63,26.19,3.237,2017
263,HTI,Haiti,0.559,-1.131,-0.44,1.262,-2.251,-4.922,-11.603,9.892,4.143,2.705,2.182,2.71,0.87,-1.044,-0.251,0.364,-3.523,1.805,2.249,3.343,0.844,3.083,-5.498,5.524,2.885,4.241,2.803,1.211,1.453,1.173,1.484,0.1,1.199,1.495,1.495,1.495,1.505,2018
268,HND,Honduras,4.61,4.326,0.097,3.252,5.624,6.23,-1.303,4.08,3.578,4.994,2.902,-0.736,7.291,2.723,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.058,3.84,3.752,4.93,3.745,3.36,3.528,3.634,3.743,3.855,3.94,2017
